x,y
0.5104483,0.3898851
0.5658133,0.3981762
0.5984037,0.4199226
0.6209932,0.4232173
0.6806374,0.3918414
0.6938662,0.3939900
0.7362946,0.3811990
0.8064716,0.4088255
0.8228332,0.4074704
0.8654388,0.4002491
0.9059642,0.4099007
0.9372438,0.4149653
0.9504101,0.3838728
0.0324088,0.4619504
0.0401265,0.4518737
0.0984402,0.4280302
0.1160002,0.4421028
0.1744474,0.4373838
0.1850097,0.4369124
0.2529837,0.4456819
0.2998604,0.4032520
0.3200484,0.4656581
0.3953011,0.4263913
0.3916501,0.4266703
0.4211651,0.4390752
0.4704240,0.4548822
0.5269214,0.4507367
0.5608044,0.4409397
0.5971741,0.4383596
0.6131004,0.4566320
0.6695609,0.4260071
0.7015619,0.4447301
0.7262102,0.4356742
0.7899145,0.4537107
0.8367793,0.4679388
0.8589863,0.4483193
0.9208515,0.4337172
0.9350761,0.4422653
0.9808566,0.4681088
0.0302429,0.4632219
0.0539160,0.4684483
0.0868956,0.4802609
0.1504690,0.4928556
0.1501297,0.4721682
0.2265525,0.4778361
0.2527932,0.5028739
0.2997294,0.4729522
0.3253444,0.4760530
0.3591752,0.4779057
0.4250747,0.4718185
0.4513827,0.4737874
0.4675396,0.4867393
0.4977806,0.4701905
0.5466768,0.4781854
0.5871277,0.4934684
0.6184228,0.4808675
0.6744726,0.4784297
0.7174052,0.4963367
0.7609827,0.4814013
0.7827939,0.4776716
0.8345366,0.4930344
0.8593726,0.4822417
0.8905248,0.4775555
0.9347441,0.4931803
0.9741473,0.4863600
0.0318815,0.5186786
0.0798307,0.5343159
0.0912900,0.5219967
0.1419536,0.5382584
0.1823007,0.5141221
0.2047440,0.5241302
0.2808337,0.5354427
0.2814128,0.5128256
0.3230018,0.5399983
0.3684412,0.5195906
0.3934253,0.5309731
0.4498449,0.5133529
0.4796321,0.5196921
0.5349400,0.5145317
0.5510865,0.5311438
0.5838044,0.5297533
0.6326604,0.5231267
0.6779130,0.5180790
0.7234536,0.5144409
0.7387165,0.5183841
0.7838768,0.5139403
0.8327683,0.4917810
0.8891390,0.5364408
0.9104661,0.5202316
0.9450484,0.5187559
0.9784515,0.5395302
0.0156465,0.5655627
0.0586212,0.5381922
0.0869000,0.5512505
0.1373499,0.5379345
0.1671345,0.5878157
0.2204815,0.5685923
0.2633863,0.5492626
0.2919587,0.5426849
0.3199882,0.5633910
0.3469399,0.5474615
0.3895308,0.5578523
0.4666817,0.5555352
0.4957118,0.5723361
0.5151586,0.5803754
0.5470711,0.5529864
0.5998470,0.5553976
0.6366001,0.5572432
0.6879260,0.5583129
0.7011502,0.5618028
0.7546882,0.5426351
0.7875498,0.5431204
0.8377625,0.5641335
0.8971195,0.5510192
0.9061249,0.5514716
0.9532488,0.5516676
0.9945520,0.5535859
0.0205002,0.5905441
0.0489168,0.5993654
0.0827936,0.5857052
0.1481932,0.6088281
0.1549961,0.6218061
0.2259047,0.6226835
0.2395374,0.5825072
0.2794393,0.5898504
0.3186064,0.5801414
0.3755707,0.5919814
0.3815763,0.6081590
0.4372601,0.6012294
0.5002253,0.6110663
0.5029221,0.6016499
0.5590319,0.5945833
0.5879916,0.6029593
0.6533721,0.5828932
0.6739158,0.6024415
0.7113717,0.6002703
0.7529222,0.5789701
0.7805240,0.5995803
0.8228709,0.5878922
0.8771837,0.6087408
0.8919248,0.6039400
0.9557719,0.6000895
0.9980620,0.5859905
0.0077358,0.6331721
0.0692601,0.6307326
0.0837894,0.6114573
0.1247820,0.6437223
0.1756469,0.6348056
0.2317478,0.6379046
0.2543602,0.6388902
0.2796469,0.6225995
0.3306269,0.6375517
0.3549077,0.6248930
0.4058530,0.6460637
0.4594238,0.6376553
0.4949917,0.6416487
0.5095351,0.6258741
0.5526733,0.6338901
0.5985269,0.6284398
0.6208592,0.6619621
0.6682060,0.6446876
0.7136103,0.6313160
0.7477837,0.6302134
0.8159470,0.6451159
0.8148624,0.6424759
0.8573431,0.6442360
0.8977010,0.6455383
0.9364620,0.6457979
0.9738688,0.6648711
0.0117910,0.6913252
0.0392717,0.6779456
0.0913335,0.6785521
0.1413255,0.6673159
0.1711129,0.6780349
0.2310802,0.6777521
0.2608187,0.6866410
0.3121932,0.6722122
0.3216783,0.6601213
0.3704494,0.6771617
0.4123293,0.6574235
0.4444049,0.6897055
0.4897847,0.6529747
0.4929217,0.6762821
0.5510796,0.6573066
0.5906824,0.6769426
0.6442692,0.6772358
0.6745468,0.6691764
0.7337923,0.6715862
0.7343867,0.6751117
0.7944582,0.6645040
0.8260668,0.6721581
0.8535365,0.6772345
0.9017740,0.6580430
0.9307105,0.6687350
0.9646324,0.6525719
0.0066408,0.6990913
0.0427647,0.7089314
0.0874227,0.7067350
0.1388329,0.7009689
0.1788698,0.7258586
0.2112949,0.7305525
0.2551363,0.7014283
0.2934452,0.7065346
0.3271093,0.7290434
0.3693490,0.7173482
0.3812589,0.7187211
0.4361590,0.7112319
0.4710387,0.7146123
0.5290511,0.7136357
0.5377309,0.7081895
0.6071736,0.7231043
0.6340512,0.6972192
0.6728469,0.7115635
0.7057375,0.7001802
0.7510927,0.7137724
0.7994067,0.7140256
0.8312203,0.7105422
0.8624589,0.7195615
0.8932421,0.7202784
0.9429429,0.6955034
0.9971747,0.7278916
0.0225444,0.7791339
0.0510878,0.7340261
0.0883645,0.7614146
0.1296481,0.7451157
0.1853244,0.7558303
0.2164775,0.7284525
0.2381173,0.7584802
0.2956287,0.7368048
0.3271664,0.7527314
0.3653614,0.7574273
0.4067150,0.7428174
0.4335137,0.7593050
0.4807679,0.7270362
0.5152839,0.7752964
0.5701690,0.7558182
0.6325362,0.7370502
0.6379229,0.7519808
0.7016491,0.7383014
0.7063064,0.7482435
0.7597202,0.7311553
0.8015275,0.7524290
0.8394217,0.7429369
0.8683021,0.7408112
0.9098870,0.7495941
0.9304545,0.7444412
0.9723040,0.7523683
0.0613170,0.7827091
0.0679240,0.7802866
0.1102927,0.7980016
0.1563376,0.7872263
0.2106264,0.7964035
0.2609123,0.7936210
0.2707119,0.7823857
0.3203222,0.7985726
0.3649212,0.7931937
0.4012033,0.7918339
0.4278141,0.7873366
0.4908952,0.7871274
0.5257172,0.7801671
0.5507052,0.7814046
0.6039309,0.7898076
0.6188506,0.8110144
0.6768748,0.8015240
0.7144527,0.7919641
0.7583477,0.7952523
0.7875150,0.7947563
0.8091914,0.7927726
0.8724097,0.7725738
0.8971259,0.7849881
0.9292063,0.7798765
0.9971377,0.7773746
0.0102392,0.8368789
0.0394137,0.8379490
0.1105000,0.8520642
0.1405607,0.8204641
0.1490251,0.8304823
0.2126326,0.8214549
0.2548656,0.8213166
0.2726865,0.8225146
0.3236373,0.8140262
0.3605395,0.8393587
0.4136403,0.8247785
0.4474813,0.8306361
0.4826975,0.8040689
0.5124538,0.8274725
0.5460138,0.8280007
0.5861465,0.8241201
0.6370691,0.8327929
0.6562100,0.8177829
0.6954817,0.8405920
0.7597726,0.8104273
0.7994022,0.8015328
0.8130538,0.8361025
0.8616759,0.8192640
0.9174999,0.8093019
0.9465158,0.8282472
0.9884138,0.8181140
0.0018018,0.8702892
0.0432621,0.8598391
0.0886162,0.8510725
0.1258208,0.8733622
0.1572808,0.8642905
0.2182988,0.8630943
0.2576588,0.8599857
0.2943000,0.8772442
0.3370533,0.8913356
0.3611607,0.8868245
0.3843742,0.8746072
0.4477007,0.8527024
0.4817183,0.8536594
0.5215705,0.8934359
0.5561952,0.8658610
0.5895648,0.8601138
0.6412488,0.8736531
0.6513644,0.8617844
0.7053618,0.8590011
0.7694550,0.8580107
0.7881493,0.8714721
0.8191583,0.8638494
0.8705259,0.8647547
0.9109226,0.8935550
0.9470299,0.8670823
0.9833056,0.8636877
0.0048088,0.8915517
0.0675172,0.8882425
0.1034597,0.9023658
0.1173197,0.9078730
0.1916229,0.8908074
0.2053871,0.9040712
0.2439945,0.8967994
0.2886850,0.9116944
0.3340857,0.8911521
0.3544815,0.8871919
0.4009554,0.8975816
0.4280262,0.8998978
0.4717132,0.8860101
0.5325982,0.9154767
0.5627241,0.9159139
0.5917973,0.9030016
0.6357656,0.9175244
0.6666756,0.8987054
0.6874731,0.9089467
0.7556066,0.9013063
0.8024362,0.9180347
0.8298876,0.9256661
0.8552439,0.9162522
0.8994974,0.8991692
0.9390886,0.9072667
0.9969870,0.9148897
0.0310986,0.9615764
0.0562992,0.9547706
0.1010477,0.9378648
0.1193206,0.9349237
0.1680978,0.9453093
0.1980118,0.9194232
0.2584210,0.9320036
0.2680679,0.9314944
0.3230619,0.9402052
0.3913094,0.9483372
0.3893912,0.9323206
0.4436179,0.9659353
0.4850800,0.9243467
0.5250543,0.9404239
0.5895880,0.9565198
0.6029742,0.9524299
0.6140419,0.9283940
0.6675068,0.9349109
0.6993225,0.9225754
0.7526100,0.9556452
0.7834742,0.9535348
0.8297956,0.9478694
0.8565186,0.9539503
0.8988206,0.9225814
0.9513179,0.9683091
0.9746310,0.9438596
0.0583993,0.9872505
0.0920424,0.9826172
0.1130688,0.9762450
0.1788717,0.9627916
0.1905765,0.9723245
0.2489884,0.9836349
0.2959293,0.9801486
0.3178916,0.9894508
0.3779996,0.9787974
0.4098315,0.9938314
0.4400702,0.9735197
0.4762394,0.9761860
0.5342940,0.9807056
0.5577384,0.9912102
0.5797785,0.9806417
0.6477959,0.9698288
0.6723515,0.9655950
0.6917445,0.9785852
0.7442969,0.9923806
0.7995726,0.9915435
0.8471197,0.9678026
0.8738617,0.9742290
0.9192010,0.9726405
0.9448707,0.9796600
0.9572448,0.9853895
