feature1,feature2,target
109.0107749,-1.3746747,57.7476272
178.3292347,2.8765145,89.1800582
170.8595014,-1.3634642,73.2949998
158.1491215,0.8729560,68.2826198
135.7043897,-4.9002099,64.8030301
172.6116690,-1.7192671,73.9111656
143.6706321,1.8301806,70.0018093
144.5642019,-3.9289213,66.8870748
161.2743520,2.0476856,79.3134561
161.0635899,-1.0819399,66.0752138
121.7797650,-1.3011731,59.2004996
173.6075461,2.8366143,85.4202110
118.3438766,-1.0796885,60.7774488
179.5564156,2.1864464,84.6808958
