x1,x2,target
0.2699496,0.8305925,1
0.7400535,0.4973101,1
0.4445911,0.0175349,-1
0.0546911,0.5512548,1
0.9463790,0.7330671,-1
0.5829359,0.1228556,1
0.0254064,0.8495243,1
0.7966324,0.6393960,-1
0.8053884,0.1873218,1
0.4422125,0.1290866,-1
0.3417194,0.0278672,-1
0.8360822,0.8424547,-1
0.4199565,0.4156604,-1
0.0405416,0.8449090,1
0.8430364,0.5547057,-1
0.1952468,0.9218227,1
0.7538728,0.9824104,-1
0.2964824,0.7019414,1
0.1964242,0.9665867,1
0.0471126,0.6783490,1
0.8741837,0.5586698,-1
0.6323941,0.4306762,1
0.0942081,0.6776818,1
0.2654054,0.8812281,1
0.9501396,0.3618869,1
0.4952287,0.3949737,-1
0.5398005,0.6748780,-1
0.0851986,0.5541187,1
0.5157603,0.2803535,1
0.3117538,0.3572884,-1
0.5486309,0.3162358,1
0.4890219,0.2819121,-1
0.9296122,0.5593050,-1
0.7224913,0.5264854,-1
0.7705893,0.5840623,-1
0.7107719,0.2263314,1
0.8861794,0.4111473,1
0.0703736,0.7310295,1
0.3399278,0.3642923,-1
0.9557283,0.0999692,1
0.0664294,0.5811548,1
0.3972248,0.8547782,1
0.4344393,0.9730049,1
0.0348286,0.0838252,-1
0.3423515,0.3195434,-1
0.2239686,0.1650563,-1
0.9340026,0.9947712,-1
0.4824248,0.2009558,-1
0.1859507,0.2730974,-1
0.4149194,0.1009142,-1
0.9003480,0.0750899,1
0.2949894,0.7205317,1
0.6561492,0.2003282,1
0.1335788,0.9188030,1
0.1678006,0.1566118,-1
0.3457577,0.5470894,1
0.0436953,0.1629186,-1
0.7245591,0.2014136,1
0.7021097,0.9360819,-1
0.8050160,0.4785476,1
0.4430696,0.0485715,-1
0.2749402,0.7849861,1
0.3279844,0.4027258,-1
0.7013840,0.4789978,1
0.1835183,0.7248329,1
0.8179290,0.9937984,-1
0.3953977,0.0169681,-1
0.0572126,0.3301806,-1
0.5292633,0.4546809,1
0.3759907,0.9468563,1
0.1982681,0.6589838,1
0.4378732,0.7290171,1
0.1238685,0.7981990,1
0.4936475,0.0990716,-1
0.9426175,0.5426572,-1
0.3101421,0.9032177,1
0.1523988,0.7040279,1
0.7023301,0.6636226,-1
0.7243382,0.3567054,1
0.0003402,0.4538645,-1
0.9195794,0.5840865,-1
0.0292365,0.2311978,-1
0.6648320,0.0354316,1
0.8133087,0.4749347,1
0.1171628,0.0497385,-1
0.1305081,0.7875733,1
0.9757657,0.9115995,-1
0.3608674,0.9630050,1
0.9286493,0.5226061,-1
0.5483486,0.2115636,1
0.9710401,0.3096760,1
0.5112356,0.6897414,-1
0.3463606,0.6099708,1
0.0299924,0.4206961,-1
0.3913059,0.0079101,-1
0.3910790,0.2011650,-1
0.2937206,0.2071001,-1
0.7307627,0.8151563,-1
0.4832973,0.6279452,1
0.0183660,0.5207035,1
0.8473848,0.9675398,-1
0.8632010,0.0652102,1
0.8712324,0.5875399,-1
0.0897690,0.8179962,1
0.3694908,0.3133989,-1
0.9447852,0.6354331,-1
0.4481085,0.5203761,1
0.0834717,0.9423326,1
0.2239027,0.2507103,-1
0.7686534,0.5787636,-1
0.9871833,0.8929877,-1
0.3235367,0.3460361,-1
0.4299268,0.8999416,1
0.6926885,0.7515465,-1
0.1390750,0.9021270,1
0.4602180,0.2697928,-1
0.4992100,0.5390121,1
0.5643429,0.3904740,1
0.4021281,0.3140652,-1
0.8768271,0.0916414,1
0.7994946,0.0826727,1
0.0592696,0.3498647,-1
0.1678401,0.4715780,-1
0.8974021,0.4898251,1
0.2711630,0.3718313,-1
0.0618922,0.6332835,1
0.1381838,0.3198508,-1
0.5992111,0.9041167,-1
0.3065845,0.8472894,1
0.3166081,0.4235857,-1
0.2190602,0.9496601,1
0.8198952,0.9599782,-1
0.8109890,0.8787958,-1
0.3080866,0.9103615,1
0.4999119,0.6261005,1
0.9788386,0.8186552,-1
0.7647627,0.2274836,1
0.5307026,0.3618866,1
0.7065685,0.7923127,-1
0.9179897,0.7632112,-1
0.6498464,0.8947905,-1
0.4289044,0.4861245,-1
0.2925482,0.9995542,1
0.0555055,0.1999098,-1
0.8264920,0.0436842,1
0.3057726,0.0875664,-1
0.3652275,0.2980778,-1
0.6595616,0.3443132,1
0.0318713,0.9522912,1
0.3029580,0.6774282,1
0.4168888,0.9924771,1
0.6345058,0.1208587,1
0.0230900,0.2195290,-1
0.8498957,0.0942095,1
0.6842543,0.9627156,-1
0.6732035,0.6377516,-1
0.8093007,0.3719915,1
0.2129524,0.2162311,-1
0.8930648,0.1585042,1
0.6158637,0.5318524,-1
0.9570131,0.9970015,-1
0.8371739,0.2429984,1
0.2603735,0.3101205,-1
0.8099981,0.7678956,-1
0.2359423,0.4403378,-1
0.9651628,0.9390504,-1
0.0766594,0.7194301,1
0.3637196,0.6197330,1
0.9222632,0.8997963,-1
0.0444002,0.7482612,1
0.8901511,0.0099271,1
0.2475536,0.3705998,-1
0.1705658,0.1569643,-1
0.7152788,0.6515081,-1
0.0389991,0.8889444,1
0.3086732,0.9133785,1
0.5865689,0.5291583,-1
0.0465872,0.6032511,1
0.8465616,0.2067739,1
0.9790424,0.6823217,-1
0.7311406,0.9460470,-1
0.3291856,0.0632103,-1
0.6643311,0.5374484,-1
0.5081932,0.1687739,1
0.7091568,0.5022929,-1
0.3997381,0.4096986,-1
0.8631151,0.8940837,-1
0.4872812,0.4745153,-1
0.2278772,0.5275898,1
0.5140591,0.3150562,1
0.9301015,0.2044052,1
0.4575231,0.2139199,-1
0.7754549,0.6895102,-1
0.0987146,0.9620980,1
0.6860064,0.5897466,-1
0.7283600,0.2685086,1
0.7937606,0.6928327,-1
0.5757282,0.2299286,1
0.9258564,0.3713812,1
0.1062210,0.7334408,1
0.0207272,0.2675439,-1
0.7088327,0.0020662,1
0.7297027,0.7451130,-1
0.3949996,0.1409749,-1
0.2454328,0.4215331,-1
0.4931855,0.7992523,1
0.3320853,0.4191812,-1
0.0046714,0.7189047,1
0.3196328,0.5871133,1
0.3377263,0.6759765,1
0.0961464,0.1363600,-1
0.2688088,0.0832815,-1
0.6133910,0.0198271,1
0.2251930,0.7983427,1
0.2387258,0.5800408,1
0.1450437,0.5513708,1
0.9220223,0.7017747,-1
0.8799175,0.5125847,-1
0.5842114,0.4769282,1
0.4840337,0.5878574,1
0.2866669,0.1669156,-1
0.5740839,0.0603207,1
0.1130060,0.8193721,1
0.4830506,0.1493563,-1
0.0549117,0.3566316,-1
0.4787993,0.5629666,1
0.5122907,0.6510684,-1
0.4473675,0.8586482,1
0.9134084,0.7295521,-1
0.4962972,0.9565937,1
0.3529786,0.0664589,-1
0.3730648,0.5804543,1
0.3379334,0.3845837,-1
0.3225150,0.2412551,-1
0.6763754,0.1310732,1
0.0225921,0.7514064,1
0.3827535,0.0670180,-1
0.3658522,0.7913361,1
0.4440512,0.5065986,1
0.2125696,0.2406592,-1
0.3254275,0.5982421,1
0.2650282,0.7140420,1
0.1277692,0.8784284,1
0.9461174,0.4485106,1
0.2113875,0.4998462,-1
0.5077971,0.0511959,1
0.1688818,0.7123417,1
0.2742463,0.5778340,1
0.5778839,0.3645900,1
0.5147511,0.1400036,1
0.8176589,0.8393926,-1
0.8779302,0.4387977,1
0.6656532,0.6303279,-1
0.2860516,0.7641827,1
0.0982280,0.4105531,-1
0.7530640,0.0328015,1
0.9949352,0.7338706,-1
0.4385256,0.2678768,-1
0.1719174,0.9769931,1
0.0177125,0.7266343,1
0.9541428,0.8270981,-1
0.3469672,0.0399614,-1
0.3711989,0.8624413,1
0.3771046,0.8452509,1
0.7047506,0.2712961,1
0.8467947,0.3480227,1
0.2400129,0.0346123,-1
0.6442934,0.8944658,-1
0.6802738,0.7517222,-1
0.8163151,0.3486414,1
0.0370509,0.9061384,1
0.7579094,0.5188110,-1
0.1965103,0.7814347,1
0.1820540,0.2305573,-1
0.2131475,0.7783540,1
0.5214529,0.5380519,-1
0.7362538,0.1875001,1
0.5761760,0.7113333,-1
0.4734396,0.3750328,-1
0.6624516,0.3595508,1
0.5821218,0.6697194,-1
0.7095576,0.2547550,1
0.1923044,0.0901395,-1
0.5850680,0.4707010,1
0.7164398,0.4295508,1
0.8378135,0.1143231,1
0.7300448,0.1816517,1
0.1362241,0.8320132,1
0.2920479,0.1316833,-1
0.9949010,0.1890572,1
0.6038611,0.6867171,-1
0.5721068,0.8896506,-1
0.7530699,0.5070567,-1
0.1063289,0.4774922,-1
0.3878599,0.6914204,1
0.2316140,0.3029172,-1
0.3615202,0.6859853,1
0.7115467,0.7185435,-1
0.8355582,0.5970315,-1
0.6000133,0.9504594,-1
0.2130222,0.0410605,-1
0.2868756,0.6103771,1
0.7832539,0.8212649,-1
0.8655133,0.9287542,-1
0.4793367,0.2853132,-1
0.4901452,0.1576664,-1
0.6576882,0.6212202,-1
0.9886573,0.9775962,-1
0.4767596,0.0274668,-1
0.7138973,0.4885466,1
0.6969958,0.6323829,-1
0.6484510,0.4361318,1
0.5953646,0.1804913,1
0.8333564,0.6689929,-1
0.5506484,0.4379660,1
0.1274504,0.3061897,-1
0.5867130,0.1741010,1
0.7339393,0.7796942,-1
0.1916384,0.8756600,1
0.8720587,0.0948089,1
0.4279685,0.0925669,-1
0.0026358,0.7941100,1
0.8707901,0.4099977,1
0.3096123,0.3997130,-1
0.5707676,0.3260479,1
0.8962487,0.7647158,-1
0.5220792,0.1771458,1
0.2212652,0.6965688,1
0.2027876,0.3430850,-1
0.9502365,0.5011088,-1
0.6494324,0.3446100,1
0.7568559,0.0345720,1
0.5609647,0.7905391,-1
0.0007346,0.9877767,1
0.0659436,0.6558850,1
0.3152595,0.2558029,-1
0.5679725,0.6124612,-1
0.5092996,0.3725907,1
0.8903232,0.0579924,1
0.9805406,0.2242430,1
0.5187440,0.5934669,-1
0.3346541,0.8092496,1
0.5609225,0.1613104,1
0.4718698,0.3834689,-1
0.0584199,0.7860657,1
0.2363499,0.8632475,1
0.5682243,0.7824564,-1
0.2007966,0.1020360,-1
0.3806225,0.7689398,1
0.2432414,0.7737251,1
0.6286357,0.0290163,1
0.3303584,0.4479467,-1
0.5736447,0.9927970,-1
0.7854975,0.0418964,1
0.7818779,0.8017067,-1
0.3613774,0.1673651,-1
0.3584125,0.4818487,-1
0.6905721,0.5604970,-1
0.8549437,0.3933163,1
0.2164282,0.4906088,-1
0.6129062,0.6762816,-1
0.7017556,0.3446766,1
0.4253853,0.9020604,1
0.8941400,0.9209328,-1
0.7857463,0.7279439,-1
0.6801068,0.8628954,-1
0.9608167,0.1102765,1
0.4397934,0.8592380,1
0.2523171,0.8428073,1
0.4892035,0.2948478,-1
0.7511424,0.1968740,1
0.3260723,0.8656843,1
0.5547930,0.2243675,1
0.8363389,0.4946449,1
0.5611065,0.5461779,-1
0.7366340,0.2260873,1
0.8327402,0.4509703,1
0.8796010,0.1718505,1
0.2192047,0.1487122,-1
0.3317208,0.8266137,1
0.6808469,0.9003121,-1
0.4480640,0.2815266,-1
0.6232375,0.6427056,-1
0.5151342,0.2668618,1
0.4639725,0.2995742,-1
0.8840181,0.7592962,-1
0.4124496,0.3919650,-1
0.4572778,0.3313892,-1
0.2437732,0.2620674,-1
0.8439144,0.7765307,-1
0.0853843,0.2584206,-1
0.3849868,0.9211317,1
0.8799041,0.8747908,-1
0.6740280,0.8856472,-1
0.6123810,0.8987046,-1
0.4582269,0.6555075,1
0.3662735,0.8885447,1
0.5180296,0.2928062,1
0.3106624,0.9022873,1
0.7263329,0.7291096,-1
0.3211600,0.7964563,1
0.1060570,0.8711598,1
0.1957760,0.4713596,-1
0.4604694,0.2807580,-1
0.3297854,0.6940984,1
0.6428531,0.5667808,-1
0.0384640,0.1705388,-1
0.7509678,0.7745046,-1
0.4269506,0.1130728,-1
0.9089163,0.8201809,-1
0.8089230,0.8755814,-1
0.9833939,0.9877459,-1
0.1138332,0.3762711,-1
0.1586433,0.9522716,1
0.2866107,0.5358166,1
0.6622437,0.0155409,1
0.8715849,0.1488971,1
0.0997674,0.7633497,1
0.4782262,0.5996162,1
0.1484096,0.7939248,1
0.5774428,0.6405158,-1
0.1635648,0.9887733,1
0.6117434,0.4069315,1
0.5649092,0.0537261,1
0.3607498,0.9500700,1
0.6022625,0.8336757,-1
0.3626862,0.3358725,-1
0.2341764,0.8594426,1
0.1435028,0.6256441,1
0.1711899,0.3089063,-1
0.7148213,0.8667710,-1
0.8806361,0.9337390,-1
0.8764663,0.8549178,-1
0.8040691,0.6137615,-1
0.5255204,0.0879561,1
0.2824391,0.3687593,-1
0.8452726,0.7806140,-1
0.1409864,0.4990692,-1
0.9865892,0.3439864,1
0.3169353,0.8928781,1
0.8486205,0.5266532,-1
0.3564518,0.8831116,1
0.5394853,0.8809367,-1
0.9655758,0.5757456,-1
0.2394458,0.3669839,-1
0.3267787,0.1567752,-1
0.5510356,0.8409278,-1
0.7481445,0.5892203,-1
0.5026618,0.0159130,1
0.1849929,0.0313585,-1
0.0042238,0.3732913,-1
0.2145885,0.4893425,-1
0.3642707,0.8785368,1
0.6736040,0.2399413,1
0.6525754,0.2110567,1
0.3072087,0.5029092,1
0.0373903,0.0479260,-1
0.1182226,0.1957462,-1
0.4385380,0.9080382,1
0.2412289,0.7584710,1
0.3155885,0.3863177,-1
0.5205809,0.1371016,1
0.5878024,0.7274228,-1
0.1233784,0.7071276,1
0.5574915,0.6172481,-1
0.6727904,0.6253343,-1
0.4737545,0.7621743,1
0.3578690,0.1497922,-1
0.2648481,0.4637630,-1
0.8266272,0.3487317,1
0.7801372,0.5268529,-1
0.3014431,0.8488708,1
0.2036721,0.7021558,1
0.4330849,0.1149746,-1
0.6228951,0.9388411,-1
0.7990019,0.1590947,1
0.8434438,0.3277765,1
0.8980444,0.6493609,-1
0.1890388,0.6230605,1
0.0043353,0.3592218,-1
0.9997267,0.0073555,1
0.9774813,0.4005783,1
0.0346332,0.0211072,-1
0.3777336,0.5926715,1
0.2562356,0.4098842,-1
0.7780936,0.2442706,1
0.0056093,0.7819955,1
0.1512637,0.2100304,-1
0.5962196,0.2954736,1
0.0751769,0.1471110,-1
0.4284295,0.8340737,1
0.1074926,0.5533879,1
0.0424612,0.6391775,1
0.3665506,0.2360337,-1
0.6624158,0.1782981,1
0.4043157,0.1747246,-1
0.9291315,0.6848653,-1
0.6812446,0.4929338,1
0.3336441,0.3703803,-1
0.3568921,0.5708988,1
0.8783000,0.9443565,-1
0.1022774,0.0054843,-1
0.9516613,0.1854321,1
0.9484629,0.3753652,1
0.5331526,0.6609880,-1
0.5336419,0.8568530,-1
0.1680238,0.5633149,1
0.1847587,0.2397281,-1
0.1985714,0.7183853,1
